# KG estratto dalle lezioni BigBang di Prometeo
# Relazioni: SIMILAR_TO (cluster Kaikki), OPPOSITE_OF (antonimi)
# soggetto	RELAZIONE	oggetto
credulo	OPPOSITE_OF	incredulo
crescente	OPPOSITE_OF	calante
crescita	OPPOSITE_OF	diminuzione
criticabile	OPPOSITE_OF	ineccepibile
crudo	OPPOSITE_OF	cotto
cupezza	OPPOSITE_OF	allegria
curabile	OPPOSITE_OF	incurabile
dannoso	OPPOSITE_OF	innocuo
davanti	OPPOSITE_OF	posteriore
debito	OPPOSITE_OF	indebito
debole	OPPOSITE_OF	forte
deciso	OPPOSITE_OF	indeciso
decongelare	OPPOSITE_OF	congelare
definibile	OPPOSITE_OF	indefinibile
definitivo	OPPOSITE_OF	provvisorio
definito	OPPOSITE_OF	indefinito
defunto	OPPOSITE_OF	vitale
defunto	OPPOSITE_OF	vivo
deglobalizzare	OPPOSITE_OF	globalizzare
deglobalizzazione	OPPOSITE_OF	globalizzazione
delebile	OPPOSITE_OF	indelebile
deludere	OPPOSITE_OF	accontentare
delusione	OPPOSITE_OF	illusione
deluso	OPPOSITE_OF	contento
demaniale	OPPOSITE_OF	privato
demonizzare	OPPOSITE_OF	santificare
derogabile	OPPOSITE_OF	inderogabile
descrivibile	OPPOSITE_OF	indescrivibile
desiderabile	OPPOSITE_OF	indesiderabile
desolazione	OPPOSITE_OF	allegria
destinatario	OPPOSITE_OF	mittente
destra	OPPOSITE_OF	sinistra
destro	OPPOSITE_OF	maldestro
destro	OPPOSITE_OF	mancino
destro	OPPOSITE_OF	sinistro
detassare	OPPOSITE_OF	tassare
detassazione	OPPOSITE_OF	tassazione
determinato	OPPOSITE_OF	indeterminato
devoto	OPPOSITE_OF	infedele
dicibile	OPPOSITE_OF	indicibile
difendere	OPPOSITE_OF	offendere
difesa	OPPOSITE_OF	accusa
difeso	OPPOSITE_OF	indifeso
difetto	OPPOSITE_OF	pregio
differente	OPPOSITE_OF	indifferente
differente	OPPOSITE_OF	uguale
differenziare	OPPOSITE_OF	unificare
differenziato	OPPOSITE_OF	indifferenziato
difficile	OPPOSITE_OF	facile
difficile	OPPOSITE_OF	semplice
diffidente	OPPOSITE_OF	fiducioso
diffidenza	OPPOSITE_OF	fiducia
diffidenza	OPPOSITE_OF	sicurezza
digitale	OPPOSITE_OF	analogico
dimagrire	OPPOSITE_OF	ingrassare
dimenticabile	OPPOSITE_OF	indimenticabile
dimenticare	OPPOSITE_OF	ricordare
diminuire	OPPOSITE_OF	aumentare
diminuzione	OPPOSITE_OF	aumento
diminuzione	OPPOSITE_OF	crescita
diminuzione	OPPOSITE_OF	incremento
dimostrabile	OPPOSITE_OF	indimostrabile
dipanare	OPPOSITE_OF	aggrovigliare
dipanare	OPPOSITE_OF	ammatassare
dipanare	OPPOSITE_OF	confondere
dipendente	OPPOSITE_OF	autonomo
dipendente	OPPOSITE_OF	indipendente
diretto	OPPOSITE_OF	indiretto
diritto	OPPOSITE_OF	mancino
diritto	OPPOSITE_OF	sinistro
diritto	OPPOSITE_OF	storto
disabilitare	OPPOSITE_OF	abilitare
disabituare	OPPOSITE_OF	abituare
disaccordo	OPPOSITE_OF	accordo
disagevole	OPPOSITE_OF	agevole
disagio	OPPOSITE_OF	agio
discendere	OPPOSITE_OF	ascendere
discesa	OPPOSITE_OF	salita
dischiudere	OPPOSITE_OF	chiudere
dischiudere	OPPOSITE_OF	serrare
disconnettere	OPPOSITE_OF	connettere
discontinuo	OPPOSITE_OF	continuo
discordare	OPPOSITE_OF	concordare
discrezione	OPPOSITE_OF	indiscrezione
discusso	OPPOSITE_OF	indiscusso
discutibile	OPPOSITE_OF	indiscutibile
discutibile	OPPOSITE_OF	ineccepibile
disillusione	OPPOSITE_OF	illusione
disinformare	OPPOSITE_OF	informare
disinnescare	OPPOSITE_OF	innescare
disinstallare	OPPOSITE_OF	installare
disinstallazione	OPPOSITE_OF	installazione
disistimare	OPPOSITE_OF	stimare
disoccupato	OPPOSITE_OF	occupato
disoccupazione	OPPOSITE_OF	occupazione
disonesto	OPPOSITE_OF	onesto
disonestà	OPPOSITE_OF	onestà
disordine	OPPOSITE_OF	ordine
disperare	OPPOSITE_OF	confidare
